Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges
mg5_n,26,2,0.069664112,17.7278425,0.082266876,2,14.90831941,148.413917,12.4,38,93,97
mg5_n,24,2,1.046758859,17.15862177,0.03166248,2,14.62370905,89.69380322,12.4,38,93,97
mg5_n,27,2,0.146081855,18.09266502,0.073984963,2,15.09073067,77.82402997,12.4,38,93,97
mg5_n,21,2,2.252055887,16.07396242,0.040453486,2,14.08137937,152.7737632,12.4,38,93,97
mg5_n,29,2,0.280842375,18.60413017,0.08116026,2,15.34646324,62.66119052,12.4,38,93,97
mg5_n,31,2,0.131762643,18.71044362,0.082778061,2,15.39961997,49.26102266,12.4,38,93,97
mg5_n,32,15,0.07799581,0.068275841,0.029181537,3,16.20193102,78.90627699,12.4,38,93,97
mg5_n,28,2,2.797763082,18.45122355,0.038013726,2,15.27000994,92.47856698,12.4,38,93,97
mg5_n,33,19,0.552164473,0.449190866,0.03428372,3,17.13702725,146.8920377,12.4,38,93,97
mg5_n,34,23,0.5022235,0.067891374,0.033982071,3,17.33006381,4.419506726,12.4,38,93,97
mg5_n,37,23,0.12513361,0.770145867,0.02950545,3,17.68119105,25.17222969,12.4,38,93,97
mg5_n,36,24,0.477828502,0.045967019,0.025488077,3,17.64669256,9.388761333,12.4,38,93,97
mg5_n,30,2,5.366534031,18.60413017,0.047257446,2,15.34646324,84.12797057,12.4,38,93,97
mg5_n,22,2,8.913323538,16.42045729,0.047295588,2,14.2546268,179.4007583,12.4,38,93,97
mg5_n,41,22,0.167664318,3.517292837,0.021799369,3,19.01327322,40.50671603,12.4,38,93,97
mg5_n,42,22,0.406645547,3.801436919,0.025416937,3,19.15534526,42.1767736,12.4,38,93,97
mg5_n,23,2,11.394887,16.50343992,0.051111565,2,14.29611812,132.6788158,12.4,38,93,97
mg5_n,45,22,0.073486245,7.869421689,0.022704201,3,21.18933765,91.70124535,12.4,38,93,97
mg5_n ave,NaN,NaN,1.627086412,10.89384779,0.040794482,2.105263158,13.50636602,90.62504415,12.4,38,93,97
