Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges,
mg3_p ,26,3,1.517632681,2.562915161,0.039338956,2,11.03620399,167.1135715,14.5,49,128,137,
mg3_p ,38,3,0.100909988,5.019270341,0.065560319,2,12.26438158,104.356776,14.5,49,128,137,
mg3_p ,22,2,3.550496322,2.782986112,0.052725386,2,10.82207849,30.58186747,14.5,49,128,137,
mg3_p ,37,3,0.7290759,5.019270341,0.059617216,2,12.26438158,53.7216978,14.5,49,128,137,
mg3_p ,30,3,2.782810937,3.128849382,0.056680842,2,11.3191711,49.17990276,14.5,49,128,137,
mg3_p ,36,2,2.156917736,4.874922241,0.07647004,2,11.86804656,108.7302311,14.5,49,128,137,
mg3_p ,33,4,3.09338469,3.671796855,0.043576362,2,11.66868003,156.6236416,14.5,49,128,137,
mg3_p ,27,2,4.749905143,3.235755947,0.048331111,2,11.04846341,85.1339992,14.5,49,128,137,
mg3_p ,40,4,1.506738545,6.183618861,0.057409439,2,12.92459103,13.05078426,14.5,49,128,137,
mg3_p ,42,20,0.079425616,0.180595994,0.02756861,3,13.71426905,166.8093893,14.5,49,128,137,
mg3_p ,44,24,0.121489493,0.069245845,0.036738967,3,13.9159414,0.477607359,14.5,49,128,137,
mg3_p ,46,25,0.364806527,0.740632235,0.04945008,3,14.35079084,173.4943734,14.5,49,128,137,
mg3_p ,47,25,0.993624644,1.120802594,0.051729439,3,14.54087602,51.71142424,14.5,49,128,137,
mg3_p ,48,36,0.141722229,0.198469169,0.043567293,3,14.96728114,114.3365753,14.5,49,128,137,
mg3_p ,49,36,0.091378498,0.542003849,0.038061652,3,15.13904848,41.76375252,14.5,49,128,137,
mg3_p ,35,4,7.092980093,3.767899863,0.062228957,2,11.71673153,37.68191461,14.5,49,128,137,
mg3_p ,52,25,0.079425642,2.789008122,0.044224201,3,15.37497878,103.5702872,14.5,49,128,137,
mg3_p ,53,36,0.103254528,1.066151606,0.044751211,3,15.40112236,101.1364828,14.5,49,128,137,
mg3_p ,39,4,5.828543089,6.018207308,0.049643408,2,12.84188525,123.9878566,14.5,49,128,137,
mg3_p ,55,39,0.19163621,2.307988568,0.036516437,3,16.99587954,104.6956542,14.5,49,128,137,
mg3_p ,56,39,0.212713921,2.504712129,0.037817243,3,17.09424132,177.5125689,14.5,49,128,137,
mg3_p ,57,46,0.322027505,0.098191346,0.041462499,4,17.39988651,46.80226564,14.5,49,128,137,
mg3_p ,58,25,0.376519615,7.859048266,0.035516491,3,17.90999886,68.20765552,14.5,49,128,137,
mg3_p ,59,39,0.082673127,5.582964043,0.033343521,3,18.63336728,161.026178,14.5,49,128,137,
mg3_p ,60,25,0.442357019,9.466209853,0.038207293,3,18.71357965,92.56211933,14.5,49,128,137,
mg3_p ,61,25,0.166673313,10.44557586,0.043450221,3,19.20326266,61.66221465,14.5,49,128,137,
mg3_p ,25,2,17.47527637,3.099778572,0.071983463,2,10.98047472,68.50864465,14.5,49,128,137,
mg3_p ,62,25,0.296535057,16.09336708,0.027136302,3,22.02715826,105.049435,14.5,49,128,137,
mg3_p  ave,NaN,NaN,2.033712149,3.979368341,0.051370756,2.163265306,12.08191403,91.20293823,14.5,49,128,137,
mg4_p,2,1,0.083543123,0.083244873,0.052954955,1,3.041622436,165.29614,12,29,95,120,
mg4_p,3,1,0.106972132,0.142811985,0.070761546,1,3.071405992,124.0743478,12,29,95,120,
mg4_p,4,1,0.158342907,0.258949085,0.066371749,1,3.129474543,59.57414025,12,29,95,120,
mg4_p,6,1,0.487539355,0.592952476,0.056028922,1,3.296476238,74.50808212,12,29,95,120,
mg4_p,12,1,0.044979004,1.210423745,0.085641278,1,3.605211873,106.6383707,12,29,95,120,
mg4_p,8,1,0.748963816,0.684788976,0.131800954,1,3.342394488,162.7876765,12,29,95,120,
mg4_p,21,1,0.207916954,1.931439067,0.046582465,1,3.965719533,86.62396207,12,29,95,120,
mg4_p,22,1,0.276858201,2.033302116,0.04164728,1,4.016651058,83.85963166,12,29,95,120,
mg4_p,19,1,0.794069866,1.561434833,0.035827129,1,3.780717417,27.19174084,12,29,95,120,
mg4_p,23,1,0.31982664,2.121604892,0.068433808,1,4.060802446,71.26151041,12,29,95,120,
mg4_p,16,1,1.922940504,1.395718694,0.066785662,1,3.697859347,30.79578062,12,29,95,120,
